symptom,disease,source_record_id,frequency
cough,perennial allergic rhinitis,508,1
itchy nose,perennial allergic rhinitis,508,1
roof of mouth or throat,perennial allergic rhinitis,508,1
postnasal drip,perennial allergic rhinitis,508,1
swollen,perennial allergic rhinitis,508,1
bruised-appearing skin under the eyes (allergic shiners),perennial allergic rhinitis,508,1
fatigue,perennial allergic rhinitis,508,1
itching,chronic urticaria,509,1
swelling of the surface of the skin into red- or skin-colored welts (called wheals) with clearly defined edges,chronic urticaria,509,1
wheals getting bigger,chronic urticaria,509,1
spreading,chronic urticaria,509,1
and joining together to form larger areas of flat,chronic urticaria,509,1
raised skin,chronic urticaria,509,1
wheals often changing shape,chronic urticaria,509,1
disappearing,chronic urticaria,509,1
and reappearing within minutes or hours. it's unusual for a wheal to last more than 48 hours. dermatographism,chronic urticaria,509,1
or skin writing,chronic urticaria,509,1
is a type of hives caused by pressure on the skin,chronic urticaria,509,1
resulting in immediate hives in the area that has been pressed on or scratched,chronic urticaria,509,1
sneezing,allergic rhinitis (symptomatic treatment),514,1
itchiness,allergic rhinitis (symptomatic treatment),514,1
blocked or runny nose,allergic rhinitis (symptomatic treatment),514,1
sleep problems,allergic rhinitis (symptomatic treatment),514,1
disruption of everyday activities,allergic rhinitis (symptomatic treatment),514,1
performance issues at work or school,allergic rhinitis (symptomatic treatment),514,1
nasal polyps,allergic rhinitis (symptomatic treatment),514,1
sinusitis,allergic rhinitis (symptomatic treatment),514,1
middle ear infections,allergic rhinitis (symptomatic treatment),514,1
itching,chronic idiopathic urticaria (symptomatic treatment),515,1
swelling of the surface of the skin into red- or skin-colored welts (called wheals) with clearly defined edges,chronic idiopathic urticaria (symptomatic treatment),515,1
wheals getting bigger,chronic idiopathic urticaria (symptomatic treatment),515,1
spreading,chronic idiopathic urticaria (symptomatic treatment),515,1
and joining together to form larger areas of flat,chronic idiopathic urticaria (symptomatic treatment),515,1
raised skin,chronic idiopathic urticaria (symptomatic treatment),515,1
wheals often changing shape,chronic idiopathic urticaria (symptomatic treatment),515,1
disappearing,chronic idiopathic urticaria (symptomatic treatment),515,1
and reappearing within minutes or hours. it's unusual for a wheal to last more than 48 hours. dermatographism,chronic idiopathic urticaria (symptomatic treatment),515,1
or skin writing,chronic idiopathic urticaria (symptomatic treatment),515,1
is a type of hives caused by pressure on the skin,chronic idiopathic urticaria (symptomatic treatment),515,1
resulting in immediate hives in the area that has been pressed on or scratched,chronic idiopathic urticaria (symptomatic treatment),515,1
frequent infections,hematologic disorders,518,1
wounds that do not heal or are slow to heal,hematologic disorders,518,1
fatigue,hematologic disorders,518,1
unexplained weight loss,hematologic disorders,518,1
shortness of breath,hematologic disorders,518,1
dizziness or light-headedness,hematologic disorders,518,1
rapid heartbeat,hematologic disorders,518,1
muscle weakness,hematologic disorders,518,1
difficulty concentrating and remembering,hematologic disorders,518,1
paleness,hematologic disorders,518,1
difficulty forming blood clots at wounds or controlling bleeding,hematologic disorders,518,1
injuries that are slow to heal or keep re-opening,hematologic disorders,518,1
unexplainable bruising or skin that easily bruises,hematologic disorders,518,1
unexplainable bleeding from the nose,hematologic disorders,518,1
gums,hematologic disorders,518,1
gastrointestinal system,hematologic disorders,518,1
or urogenital system,hematologic disorders,518,1
abdominal pain,acetaminophen overdose,540,1
irritability,acetaminophen overdose,540,1
generalized weakness,acetaminophen overdose,540,1
loss of appetite,acetaminophen overdose,540,1
jaundice,acetaminophen overdose,540,1
diarrhea,acetaminophen overdose,540,1
nausea,acetaminophen overdose,540,1
vomiting,acetaminophen overdose,540,1
convulsions,acetaminophen overdose,540,1
coma,acetaminophen overdose,540,1
excessive secretions,severe or life-threatening muscarinic effects,542,1
bronchoconstriction,severe or life-threatening muscarinic effects,542,1
bradycardia,severe or life-threatening muscarinic effects,542,1
vomiting,severe or life-threatening muscarinic effects,542,1
abdominal cramping,severe or life-threatening muscarinic effects,542,1
muscle fasciculations,severe or life-threatening muscarinic effects,542,1
flaccid paralysis,severe or life-threatening muscarinic effects,542,1
confusion,severe or life-threatening muscarinic effects,542,1
headache,severe or life-threatening muscarinic effects,542,1
drowsiness,severe or life-threatening muscarinic effects,542,1
slurred speech,severe or life-threatening muscarinic effects,542,1
convulsions,severe or life-threatening muscarinic effects,542,1
coma,severe or life-threatening muscarinic effects,542,1
respiratory depression,severe or life-threatening muscarinic effects,542,1
weakness,severe or life-threatening muscarinic effects,542,1
acute myocardial injury,poisoning by susceptible organophosphorus nerve agents,543,1
cognitive impairment,poisoning by susceptible organophosphorus nerve agents,543,1
neuropsychiatric disorders,poisoning by susceptible organophosphorus nerve agents,543,1
tingling effect of hands and feet,poisoning by susceptible organophosphorus nerve agents,543,1
sensory loss,poisoning by susceptible organophosphorus nerve agents,543,1
muscular weakness,poisoning by susceptible organophosphorus nerve agents,543,1
flaccidity of distal skeletal muscles,poisoning by susceptible organophosphorus nerve agents,543,1
ataxia,poisoning by susceptible organophosphorus nerve agents,543,1
respiratory complications,poisoning by susceptible organophosphorus nerve agents,543,1
alveolar fluid,poisoning by susceptible organophosphorus nerve agents,543,1
bronchorrhea,poisoning by susceptible organophosphorus nerve agents,543,1
acute respiratory disorder,poisoning by susceptible organophosphorus nerve agents,543,1
aspiration pneumonitis,poisoning by susceptible organophosphorus nerve agents,543,1
pneumonia,poisoning by susceptible organophosphorus nerve agents,543,1
oxidative stress,poisoning by susceptible organophosphorus nerve agents,543,1
acute myocardial injury,organophosphorus or carbamate insecticide poisoning,544,1
cognitive impairment,organophosphorus or carbamate insecticide poisoning,544,1
neuropsychiatric disorders,organophosphorus or carbamate insecticide poisoning,544,1
tingling effect of hands and feet,organophosphorus or carbamate insecticide poisoning,544,1
sensory loss,organophosphorus or carbamate insecticide poisoning,544,1
muscular weakness,organophosphorus or carbamate insecticide poisoning,544,1
flaccidity of distal skeletal muscles,organophosphorus or carbamate insecticide poisoning,544,1
ataxia,organophosphorus or carbamate insecticide poisoning,544,1
respiratory complications,organophosphorus or carbamate insecticide poisoning,544,1
alveolar fluid,organophosphorus or carbamate insecticide poisoning,544,1
bronchorrhea,organophosphorus or carbamate insecticide poisoning,544,1
acute respiratory disorder,organophosphorus or carbamate insecticide poisoning,544,1
aspiration pneumonitis,organophosphorus or carbamate insecticide poisoning,544,1
pneumonia,organophosphorus or carbamate insecticide poisoning,544,1
oxidative stress,organophosphorus or carbamate insecticide poisoning,544,1
shutting one eye or squinting,amblyopia (related to ophthalmic use),545,1
eyes pointing in different directions (squint),amblyopia (related to ophthalmic use),545,1
inability to follow objects or people with eyes,amblyopia (related to ophthalmic use),545,1
tilting head when looking at something,amblyopia (related to ophthalmic use),545,1
tired eyes and frequent rubbing,amblyopia (related to ophthalmic use),545,1
headaches,amblyopia (related to ophthalmic use),545,1
difficulty with catching or throwing,amblyopia (related to ophthalmic use),545,1
tripping or falling often,amblyopia (related to ophthalmic use),545,1
excessive blinking,amblyopia (related to ophthalmic use),545,1
cyanosis (skin,acquired methemoglobinemia,559,1
lips,acquired methemoglobinemia,559,1
and nails turning blue or purple),acquired methemoglobinemia,559,1
pale skin,acquired methemoglobinemia,559,1
fatigue,acquired methemoglobinemia,559,1
weakness,acquired methemoglobinemia,559,1
headache,acquired methemoglobinemia,559,1
nausea,acquired methemoglobinemia,559,1
vomiting,acquired methemoglobinemia,559,1
extreme drowsiness,acquired methemoglobinemia,559,1
slurred speech,acquired methemoglobinemia,559,1
slow reflexes,acquired methemoglobinemia,559,1
loss of consciousness,acquired methemoglobinemia,559,1
uncontrollable jerking motions (seizures),acquired methemoglobinemia,559,1
rapid breathing,acquired methemoglobinemia,559,1
increased heart rate,acquired methemoglobinemia,559,1
confusion,acquired methemoglobinemia,559,1
needing to pee often,urinary tract infections,561,23
pain while peeing,urinary tract infections,561,23
pain in your side or lower back,urinary tract infections,561,23
cloudy or smelly pee,urinary tract infections,561,23
fever,urinary tract infections,561,23
chills,urinary tract infections,561,23
pain in your flank,urinary tract infections,561,23
abdomen,urinary tract infections,561,23
pelvic area,urinary tract infections,561,23
or lower back,urinary tract infections,561,23
pressure in the lower part of your pelvis,urinary tract infections,561,23
urinary incontinence,urinary tract infections,561,23
frequent urination,urinary tract infections,561,23
urge incontinence,urinary tract infections,561,23
pain when you pee (dysuria),urinary tract infections,561,23
blood in your pee (hematuria),urinary tract infections,561,23
pain in your penis,urinary tract infections,561,23
feeling extremely tired (fatigue),urinary tract infections,561,23
mental changes or confusion,urinary tract infections,561,23
intensity (level of severity and strength of pain),severe pain,566,2
sharp or dull (quality of pain sensation,severe pain,566,2
sharp/stabbing or dull/achy),severe pain,566,2
location (specific area of pain),severe pain,566,2
radiation (spreading of pain to other body parts),severe pain,566,2
duration (how long pain persists,severe pain,566,2
acute or chronic),severe pain,566,2
accompanying symptoms (other symptoms alongside pain),severe pain,566,2
emotional impact (effect on emotions,severe pain,566,2
anxiety,severe pain,566,2
depression),severe pain,566,2
limitation of movement (difficulty moving due to pain),severe pain,566,2
changes in vital signs (physiological alterations,severe pain,566,2
heart rate,severe pain,566,2
blood pressure),severe pain,566,2
yellowing of the skin or eyes (jaundice),wilson's disease,573,1
abdominal swelling,wilson's disease,573,1
vomiting of blood,wilson's disease,573,1
abdominal pain,wilson's disease,573,1
changes in handwriting,wilson's disease,573,1
drooling,wilson's disease,573,1
tremors,wilson's disease,573,1
difficulty walking,wilson's disease,573,1
difficulty talking,wilson's disease,573,1
difficulty swallowing,wilson's disease,573,1
psychological or behavioral changes (e.g,wilson's disease,573,1
depression,wilson's disease,573,1
anxiety,wilson's disease,573,1
impulsivity,wilson's disease,573,1
aggression),wilson's disease,573,1
menstrual irregularities,wilson's disease,573,1
absence of periods,wilson's disease,573,1
infertility,wilson's disease,573,1
multiple miscarriages,wilson's disease,573,1
mood issues (e.g,wilson's disease,573,1
bipolar disorders,wilson's disease,573,1
ocd,wilson's disease,573,1
adhd),wilson's disease,573,1
kayser-fleischer (kf) rings in the cornea,wilson's disease,573,1
sharp pain in the lower back or side of the abdomen (renal colic),cystinuria,574,1
blood in the urine (hematuria),cystinuria,574,1
urinary tract obstruction,cystinuria,574,1
infections of the urinary tract,cystinuria,574,1
kidney damage,cystinuria,574,1
formation of small or large kidney stones,cystinuria,574,1
"urinary ""gravel"" consisting of yellowish-brown hexagonal crystals",cystinuria,574,1
tender,active rheumatoid arthritis,575,1
warm,active rheumatoid arthritis,575,1
swollen joints,active rheumatoid arthritis,575,1
joint stiffness,active rheumatoid arthritis,575,1
fatigue,active rheumatoid arthritis,575,1
fever,active rheumatoid arthritis,575,1
loss of appetite,active rheumatoid arthritis,575,1
skin involvement,active rheumatoid arthritis,575,1
eye involvement,active rheumatoid arthritis,575,1
lung involvement,active rheumatoid arthritis,575,1
heart involvement,active rheumatoid arthritis,575,1
kidney involvement,active rheumatoid arthritis,575,1
salivary gland involvement,active rheumatoid arthritis,575,1
nerve tissue involvement,active rheumatoid arthritis,575,1
bone marrow involvement,active rheumatoid arthritis,575,1
blood vessel involvement,active rheumatoid arthritis,575,1
osteoporosis,active rheumatoid arthritis,575,1
rheumatoid nodules,active rheumatoid arthritis,575,1
dry eyes and mouth,active rheumatoid arthritis,575,1
increased risk of infections,active rheumatoid arthritis,575,1
abnormal body composition,active rheumatoid arthritis,575,1
carpal tunnel syndrome,active rheumatoid arthritis,575,1
heart problems,active rheumatoid arthritis,575,1
lung disease,active rheumatoid arthritis,575,1
increased risk of lymphoma,active rheumatoid arthritis,575,1
chest pain or discomfort,chronic stable angina pectoris,580,1
pressure or squeezing in the chest,chronic stable angina pectoris,580,1
pain radiating to the arms,chronic stable angina pectoris,580,1
neck,chronic stable angina pectoris,580,1
jaw,chronic stable angina pectoris,580,1
shoulder,chronic stable angina pectoris,580,1
or back,chronic stable angina pectoris,580,1
shortness of breath,chronic stable angina pectoris,580,2
muscle weakness,becker's muscular dystrophy (bmd),581,1
muscle wasting,becker's muscular dystrophy (bmd),581,1
difficulty walking,becker's muscular dystrophy (bmd),581,1
muscle stiffness,becker's muscular dystrophy (bmd),581,1
joint contractures,becker's muscular dystrophy (bmd),581,1
scoliosis,becker's muscular dystrophy (bmd),581,1
trouble breathing,becker's muscular dystrophy (bmd),581,1
difficulty swallowing,becker's muscular dystrophy (bmd),581,1
vision problems,becker's muscular dystrophy (bmd),581,1
heart problems,becker's muscular dystrophy (bmd),581,1
shortness of breath,hypertrophic cardiomyopathy (hcm),584,1
chest pain or discomfort,hypertrophic cardiomyopathy (hcm),584,1
fatigue or weakness,hypertrophic cardiomyopathy (hcm),584,1
rapid or irregular heartbeat (arrhythmias),hypertrophic cardiomyopathy (hcm),584,1
dizziness or fainting (syncope),hypertrophic cardiomyopathy (hcm),584,1
heart murmur (uncommon),hypertrophic cardiomyopathy (hcm),584,1
swelling in the ankles,hypertrophic cardiomyopathy (hcm),584,1
feet,hypertrophic cardiomyopathy (hcm),584,1
or legs (edema),hypertrophic cardiomyopathy (hcm),584,1
staring,epilepsy,600,1
jerking movements of the arms and legs,epilepsy,600,1
stiffening of the body,epilepsy,600,1
loss of consciousness,epilepsy,600,1
breathing problems or breathing stops,epilepsy,600,1
loss of bowel or bladder control,epilepsy,600,1
falling suddenly,epilepsy,600,1
not responding to noise or words,epilepsy,600,1
appearing confused or in a haze,epilepsy,600,1
nodding the head rhythmically,epilepsy,600,1
periods of rapid eye blinking and staring,epilepsy,600,1
bluish lips,epilepsy,600,1
abnormal breathing,epilepsy,600,1
feeling nervous,mild to moderate anxiety,639,1
restless or tense,mild to moderate anxiety,639,1
sense of impending danger,mild to moderate anxiety,639,1
panic or doom,mild to moderate anxiety,639,1
increased heart rate,mild to moderate anxiety,639,1
rapid breathing (hyperventilation),mild to moderate anxiety,639,1
sweating,mild to moderate anxiety,639,1
trembling,mild to moderate anxiety,639,1
fatigue,mild to moderate anxiety,639,1
trouble concentrating or focusing,mild to moderate anxiety,639,1
difficulty sleeping,mild to moderate anxiety,639,1
gastrointestinal (gi) problems,mild to moderate anxiety,639,1
difficulty controlling worry,mild to moderate anxiety,639,1
urge to avoid anxiety triggers,mild to moderate anxiety,639,1
headaches,acute alcoholic withdrawal,640,1
anxiety,acute alcoholic withdrawal,640,1
tremors,acute alcoholic withdrawal,640,1
shakes,acute alcoholic withdrawal,640,1
insomnia,acute alcoholic withdrawal,640,1
fatigue,acute alcoholic withdrawal,640,1
mood changes,acute alcoholic withdrawal,640,1
gastrointestinal disturbances,acute alcoholic withdrawal,640,1
heart palpitations,acute alcoholic withdrawal,640,1
increased blood pressure,acute alcoholic withdrawal,640,1
increased heart rate,acute alcoholic withdrawal,640,1
hyperthermia,acute alcoholic withdrawal,640,1
rapid abnormal breathing,acute alcoholic withdrawal,640,1
hallucinations,acute alcoholic withdrawal,640,1
seizures,acute alcoholic withdrawal,640,1
dangers of unmanaged alcohol withdrawal,acute alcoholic withdrawal,640,1
detox,acute alcoholic withdrawal,640,1
medications,acute alcoholic withdrawal,640,1
alcohol misuse,acute alcoholic withdrawal,640,1
binge drinking,acute alcoholic withdrawal,640,1
alcohol use disorder (aud),acute alcoholic withdrawal,640,1
physiological dependence,acute alcoholic withdrawal,640,1
neurochemical changes,acute alcoholic withdrawal,640,1
gaba,acute alcoholic withdrawal,640,1
glutamate,acute alcoholic withdrawal,640,1
tolerance,acute alcoholic withdrawal,640,1
seizure risks,acute alcoholic withdrawal,640,1
withdrawal delirium tremens (dts),acute alcoholic withdrawal,640,1
alcohol withdrawal timeline,acute alcoholic withdrawal,640,1
medical detox,acute alcoholic withdrawal,640,1
inpatient treatment,acute alcoholic withdrawal,640,1
residential treatment,acute alcoholic withdrawal,640,1
outpatient treatment,acute alcoholic withdrawal,640,1
alcohol withdrawal treatment,acute alcoholic withdrawal,640,1
therapies,acute alcoholic withdrawal,640,1
12-step meetings,acute alcoholic withdrawal,640,1
medication for alcohol withdrawal,acute alcoholic withdrawal,640,1
dangers of alcohol withdrawal,acute alcoholic withdrawal,640,1
delirium tremens,acute alcoholic withdrawal,640,1
mortality rate,acute alcoholic withdrawal,640,1
predictors of severe alcohol withdrawal,acute alcoholic withdrawal,640,1
heavy daily alcohol use,acute alcoholic withdrawal,640,1
older age,acute alcoholic withdrawal,640,1
history of dts or alcohol withdrawal seizures,acute alcoholic withdrawal,640,1
comorbid illnesses,acute alcoholic withdrawal,640,1
dehydration,acute alcoholic withdrawal,640,1
electrolyte disturbances,acute alcoholic withdrawal,640,1
brain lesions,acute alcoholic withdrawal,640,1
abnormal liver function,acute alcoholic withdrawal,640,1
pain (back,skeletal muscle spasm,641,1
neck,skeletal muscle spasm,641,1
head),skeletal muscle spasm,641,1
muscle weakness,skeletal muscle spasm,641,1
skin numbness,skeletal muscle spasm,641,1
pins-and-needles sensation,skeletal muscle spasm,641,1
tremor,skeletal muscle spasm,641,1
paralysis,skeletal muscle spasm,641,1
poor coordination,skeletal muscle spasm,641,1
slow movements,skeletal muscle spasm,641,1
double vision,skeletal muscle spasm,641,1
sleep problems,skeletal muscle spasm,641,1
repetitive seizure activity,seizure activity,642,1
increased seizure frequency,seizure activity,642,1
prolonged seizures,seizure activity,642,1
inability to recover,seizure activity,642,1
autonomic symptoms,seizure activity,642,1
altered mental status,seizure activity,642,1
loss of bladder or bowel control,seizure activity,642,1
motor movements,seizure activity,642,1
facial features,seizure activity,642,1
intermittent,seizure activity,642,1
stereotypic episodes of frequent seizure activity,seizure activity,642,1
fit during a fever,febrile convulsions,665,1
stiffening of the body,febrile convulsions,665,1
twitching of arms and legs,febrile convulsions,665,1
loss of consciousness,febrile convulsions,665,1
involuntary wetting or soiling,febrile convulsions,665,1
vomiting,febrile convulsions,665,1
foaming at the mouth,febrile convulsions,665,1
rolling back of the eyes,febrile convulsions,665,1
sleepiness after the seizure,febrile convulsions,665,1
complex febrile seizures (lasting longer than 15 minutes),febrile convulsions,665,1
possible recurrence within 24 hours,febrile convulsions,665,1
breathing difficulties,febrile convulsions,665,1
signs of dehydration,febrile convulsions,665,1
yellow coloring of the baby's skin,hyperbilirubinemia,666,1
fatigue,hyperbilirubinemia,666,1
difficulty falling asleep at night,insomnia,667,1
waking up during the night,insomnia,667,1
waking up too early,insomnia,667,1
not feeling well-rested after a night's sleep,insomnia,667,1
fatigue,insomnia,667,1
irritability,insomnia,667,1
depression,insomnia,667,1
or anxiety,insomnia,667,1
difficulty paying attention,insomnia,667,1
focusing on tasks,insomnia,667,1
or remembering,insomnia,667,1
increased errors or accidents,insomnia,667,1
ongoing worries about sleep,insomnia,667,1
hot flashes,menopausal symptoms,668,1
night sweats,menopausal symptoms,668,1
vaginal dryness,menopausal symptoms,668,1
urinary urgency,menopausal symptoms,668,1
difficulty sleeping (insomnia),menopausal symptoms,668,1
emotional changes (irritability,menopausal symptoms,668,1
mood swings,menopausal symptoms,668,1
mild depression),menopausal symptoms,668,1
dry skin,menopausal symptoms,668,1
dry eyes,menopausal symptoms,668,1
or dry mouth,menopausal symptoms,668,1
breast tenderness,menopausal symptoms,668,1
worsening of premenstrual syndrome (pms),menopausal symptoms,668,1
irregular periods or periods that are heavier or lighter than usual,menopausal symptoms,668,1
racing heart,menopausal symptoms,668,1
headaches,menopausal symptoms,668,1
joint and muscle aches and pains,menopausal symptoms,668,1
changes in libido (sex drive),menopausal symptoms,668,1
difficulty concentrating or memory lapses (often temporary),menopausal symptoms,668,1
weight gain,menopausal symptoms,668,1
hair loss or thinning,menopausal symptoms,668,1
absence seizure,"seizures, generalized",670,1
petit mal seizure,"seizures, generalized",670,1
brief altered consciousness,"seizures, generalized",670,1
staring,"seizures, generalized",670,1
mouth or face twitching,"seizures, generalized",670,1
rapid eye blinking,"seizures, generalized",670,1
atonic seizure,"seizures, generalized",670,1
sudden loss of muscle tone,"seizures, generalized",670,1
falling from standing position,"seizures, generalized",670,1
sudden head dropping,"seizures, generalized",670,1
limpness,"seizures, generalized",670,1
unresponsiveness,"seizures, generalized",670,1
generalized tonic-clonic seizure,"seizures, generalized",670,1
grand mal seizure,"seizures, generalized",670,1
flexing,"seizures, generalized",670,1
extending,"seizures, generalized",670,1
tremors,"seizures, generalized",670,1
clonic period,"seizures, generalized",670,1
sleepiness,"seizures, generalized",670,1
vision problems,"seizures, generalized",670,1
speech problems,"seizures, generalized",670,1
headache,"seizures, generalized",670,1
fatigue,"seizures, generalized",670,1
body aches,"seizures, generalized",670,1
myoclonic seizure,"seizures, generalized",670,1
quick muscle movements,"seizures, generalized",670,1
sudden jerking of muscles,"seizures, generalized",670,1
clusters of seizures,"seizures, generalized",670,1
bdominal pain,hydatid disease of the liver,698,1
nausea,hydatid disease of the liver,698,1
vomiting,hydatid disease of the liver,698,1
anorexia,hydatid disease of the liver,698,1
weight loss,hydatid disease of the liver,698,1
weakness,hydatid disease of the liver,698,1
chest pain,hydatid disease of the lung,699,1
cough,hydatid disease of the lung,699,1
fever,hydatid disease of the lung,699,1
hemoptysis,hydatid disease of the lung,699,1
bdominal pain,hydatid disease of the peritoneum,700,1
weight loss,hydatid disease of the peritoneum,700,1
nausea,hydatid disease of the peritoneum,700,1
vomiting,hydatid disease of the peritoneum,700,1
dysuria,hydatid disease of the peritoneum,700,1
seizures,neurocysticercosis,701,1
headaches,neurocysticercosis,701,1
confusion,neurocysticercosis,701,1
lack of attention to people and surroundings,neurocysticercosis,701,1
difficulty with balance,neurocysticercosis,701,1
excess fluid around the brain (hydrocephalus),neurocysticercosis,701,1
abdominal pain,intestinal strongyloidiasis,704,2
bloating,intestinal strongyloidiasis,704,2
heartburn,intestinal strongyloidiasis,704,2
intermittent episodes of diarrhea and constipation,intestinal strongyloidiasis,704,2
dry cough,intestinal strongyloidiasis,704,2
skin rashes,intestinal strongyloidiasis,704,2
arthritis,intestinal strongyloidiasis,704,2
kidney problems,intestinal strongyloidiasis,704,2
heart conditions,intestinal strongyloidiasis,704,2
severe itching,onchocerciasis,705,2
disfiguring skin conditions,onchocerciasis,705,2
visual impairment,onchocerciasis,705,2
permanent blindness,onchocerciasis,705,2
nodules under the skin,onchocerciasis,705,2
chronic swelling,filariasis,706,2
elephantiasis of the legs,filariasis,706,2
arms,filariasis,706,2
scrotum,filariasis,706,2
vulva,filariasis,706,2
and breasts,filariasis,706,2
red,cutaneous larva migrans,707,2
twisting lesions,cutaneous larva migrans,707,2
itchiness,cutaneous larva migrans,707,2
discomfort,cutaneous larva migrans,707,2
swelling,cutaneous larva migrans,707,2
lesions on the feet and backside,cutaneous larva migrans,707,2
increased risk of secondary bacterial infection due to scratching,cutaneous larva migrans,707,2
angioedema (calabar swellings),loa loa infection,708,2
proteinuria,loa loa infection,708,2
mild hematuria,loa loa infection,708,2
nephropathy,loa loa infection,708,2
mild encephalopathy,loa loa infection,708,2
vague central nervous system (cns) symptoms,loa loa infection,708,2
abdominal pain,dukes' stage c colon cancer,711,1
rectal bleeding,dukes' stage c colon cancer,711,1
changes in bowel habits,dukes' stage c colon cancer,711,1
weight loss,dukes' stage c colon cancer,711,1
fatigue,dukes' stage c colon cancer,711,1
change in mole color,malignant melanoma,712,1
different color shades or blotchiness in a mole,malignant melanoma,712,1
increase in mole size,malignant melanoma,712,1
irregular mole shape,malignant melanoma,712,1
elevated or raised mole,malignant melanoma,712,1
itching or bleeding in a mole,malignant melanoma,712,1
dark areas under nails,malignant melanoma,712,1
dark areas on membranes lining the mouth,malignant melanoma,712,1
vagina,malignant melanoma,712,1
or anus,malignant melanoma,712,1
head and neck cancer symptoms: lump in the neck,head/neck cancer,713,1
sore in the mouth or throat that doesn't heal and may be painful,head/neck cancer,713,1
persistent sore throat,head/neck cancer,713,1
difficulty swallowing,head/neck cancer,713,1
change or hoarseness in the voice,head/neck cancer,713,1
white or red patch on the gums,head/neck cancer,713,1
tongue,head/neck cancer,713,1
or mouth lining,head/neck cancer,713,1
growth or swelling in the jaw affecting dentures,head/neck cancer,713,1
unusual bleeding or pain in the mouth,head/neck cancer,713,1
pain when swallowing,head/neck cancer,713,1
neck or throat pain that persists,head/neck cancer,713,1
pain or ringing in the ears,head/neck cancer,713,1
trouble hearing,head/neck cancer,713,1
trouble breathing or speaking,head/neck cancer,713,1
ear pain,head/neck cancer,713,1
blocked sinuses,head/neck cancer,713,1
chronic sinus infections,head/neck cancer,713,1
nosebleeds,head/neck cancer,713,1
frequent headaches,head/neck cancer,713,1
eye problems or swelling,head/neck cancer,713,1
upper teeth pain,head/neck cancer,713,1
denture problems,head/neck cancer,713,1
swelling under the chin or around the jawbone,head/neck cancer,713,1
numbness or paralysis of facial muscles,head/neck cancer,713,1
persistent face,head/neck cancer,713,1
chin,head/neck cancer,713,1
or neck pain,head/neck cancer,713,1
itching around the anal area,enterobius vermicularis (pinworm),714,2
difficulty sleeping,enterobius vermicularis (pinworm),714,2
irritability,enterobius vermicularis (pinworm),714,2
nervousness,enterobius vermicularis (pinworm),714,2
restlessness,enterobius vermicularis (pinworm),714,2
loss of appetite,enterobius vermicularis (pinworm),714,2
weight loss,enterobius vermicularis (pinworm),714,2
vaginal itching and irritation (vaginitis) in girls,enterobius vermicularis (pinworm),714,2
frequent,trichuris trichiura (whipworm),715,2
painful bowel movements containing mucus,trichuris trichiura (whipworm),715,2
water,trichuris trichiura (whipworm),715,2
and blood,trichuris trichiura (whipworm),715,2
rectal prolapse (when the rectum sags and comes out of the anus),trichuris trichiura (whipworm),715,2
severe anemia in children with heavy infections,trichuris trichiura (whipworm),715,2
slow growth in children with heavy infections,trichuris trichiura (whipworm),715,2
persistent cough,ascaris lumbricoides (common roundworm),716,2
shortness of breath,ascaris lumbricoides (common roundworm),716,2
wheezing,ascaris lumbricoides (common roundworm),716,2
vague abdominal pain,ascaris lumbricoides (common roundworm),716,2
nausea and vomiting,ascaris lumbricoides (common roundworm),716,2
diarrhea or bloody stools,ascaris lumbricoides (common roundworm),716,2
severe abdominal pain,ascaris lumbricoides (common roundworm),716,2
fatigue,ascaris lumbricoides (common roundworm),716,2
vomiting,ascaris lumbricoides (common roundworm),716,2
weight loss or malnutrition,ascaris lumbricoides (common roundworm),716,2
a worm in your vomit or stool,ascaris lumbricoides (common roundworm),716,2
itching and localized rash,ancylostoma duodenale (common hookworm),717,2
abdominal pain,ancylostoma duodenale (common hookworm),717,2
diarrhea,ancylostoma duodenale (common hookworm),717,2
loss of appetite,ancylostoma duodenale (common hookworm),717,2
weight loss,ancylostoma duodenale (common hookworm),717,2
fatigue,ancylostoma duodenale (common hookworm),717,2
anemia,ancylostoma duodenale (common hookworm),717,2
itching and localized rash,necator americanus (american hookworm),718,2
abdominal pain,necator americanus (american hookworm),718,2
diarrhea,necator americanus (american hookworm),718,2
loss of appetite,necator americanus (american hookworm),718,2
weight loss,necator americanus (american hookworm),718,2
fatigue,necator americanus (american hookworm),718,2
anemia,necator americanus (american hookworm),718,2
mild epigastric discomfort,taenia saginata (beef tapeworm),719,1
nausea,taenia saginata (beef tapeworm),719,1
flatulence,taenia saginata (beef tapeworm),719,1
diarrhea,taenia saginata (beef tapeworm),719,1
hunger pains,taenia saginata (beef tapeworm),719,1
passage of tapeworm segments,taenia saginata (beef tapeworm),719,1
proglottids lodged in appendiceal lumen,taenia saginata (beef tapeworm),719,1
bile or pancreatic duct obstruction,taenia saginata (beef tapeworm),719,1
abdominal pain,taenia solium (pork tapeworm),720,1
nausea,taenia solium (pork tapeworm),720,1
diarrhea,taenia solium (pork tapeworm),720,1
constipation,taenia solium (pork tapeworm),720,1
subcutaneous nodules,taenia solium (pork tapeworm),720,1
chronic headaches,taenia solium (pork tapeworm),720,1
blindness,taenia solium (pork tapeworm),720,1
seizures (epilepsy if recurrent),taenia solium (pork tapeworm),720,1
hydrocephalus,taenia solium (pork tapeworm),720,1
meningitis,taenia solium (pork tapeworm),720,1
abdominal discomfort,diphyllobothrium latum (fish tapeworm),721,1
